"profile_id";"task_id";"quantity";"load_dttm"
"Ji89xg7xlnRy_jChm6Ju";"1";"1";"20220608_170000"
"JjE939r95OLwyJFZPOZ8";"1";"1";"20220608_170000"
"JnXNZJcs83bSWvCsZUuU";"1";"1";"20220608_170000"
"JoXpO4UvzTqM8v0nJ6zw";"1";"1";"20220608_170000"
"JrQPyufStsClr4DkyOds";"1";"1";"20220608_170000"
"JsMnW4AL5iOtsoVxCmYV";"1";"1";"20220608_170000"
"JwJHZzua1G29TIUIM3C3";"1";"1";"20220608_170000"
"JwJHZzua1G29TIUIM3C3";"1";"1";"20220608_170000"
"JwJHZzua1G29TIUIM3C3";"1";"1";"20220608_170000"
"JwJHZzua1G29TIUIM3C3";"1";"1";"20220608_170000"
"K26OjMwsqZx3LYugRIaY";"1";"1";"20220608_170000"
"K3Gbl1JnybanvqkGmUPx";"1";"1";"20220608_170000"
"K4g5irHai6CcyIpoEoKl";"1";"1";"20220608_170000"
"K8eHA8ozFtL0ZOHD7Bou";"1";"1";"20220608_170000"
"K9QMZfcJZqnqwK_iTL9R";"1";"1";"20220608_170000"
"KAwRSv3fG5q1w8EbhnTC";"1";"1";"20220608_170000"
"KCgwFKHTPlERF_o3P3YZ";"1";"1";"20220608_170000"
"KFRh_ZvCn7KsD4Autu-5";"1";"1";"20220608_170000"
"KMCmQJg3tnWexa4eR6XG";"1";"1";"20220608_170000"
"KMkZ3hNhT_QSe2qwNx5-";"1";"1";"20220608_170000"
"KOP90MowrXtBRyl7EepN";"1";"1";"20220608_170000"
"KRW6KAjtx54hz9ESnQ8h";"1";"1";"20220608_170000"
"KRW6KAjtx54hz9ESnQ8h";"1";"1";"20220608_170000"
"KUVfDWuofeXj6UJRCWsV";"1";"1";"20220608_170000"
"KV170P5Q-oni6yaY2sdp";"1";"1";"20220608_170000"
"KZaPgkaddIEMls4u_eX7";"1";"1";"20220608_170000"
"Kbcav99BJV1Ce6ymCYIh";"1";"1";"20220608_170000"
"KcB5-Vi_lBGbrvoAOAg3";"1";"1";"20220608_170000"
"KnclzU9OlSCcXDAaL5cX";"1";"1";"20220608_170000"
"Ks4dnU-d-dj47pUwtrYO";"1";"1";"20220608_170000"
"L-cdccDCMFPIQ9GPJo13";"1";"1";"20220608_170000"
"L0ozV2NQq5_0Sk-69iAU";"1";"1";"20220608_170000"
"L8UE09kzCDTBubnvMS4x";"1";"1";"20220608_170000"
"L8YyiqUO6CbcDayhlW7W";"1";"1";"20220608_170000"
"LMZVo5gaVI8uslhVVcLz";"1";"1";"20220608_170000"
"LNvI48uFpA5pIJjhvwcE";"1";"1";"20220608_170000"
"LQnOvITar9PjKwDU6IWb";"1";"1";"20220608_170000"
"LR7uqwHF-9rOWtPlxWcp";"1";"1";"20220608_170000"
"LWSI5Rq78-Z07szPFU9g";"1";"1";"20220608_170000"
"LYGJ56GZ4t9LkoTQ1Jb4";"1";"1";"20220608_170000"
"Lp6P1Le2o5qqFqvTOOB_";"1";"1";"20220608_170000"
"LtncmT5O9wOkFoBv8Kbg";"1";"1";"20220608_170000"
"LxCxxmyGCK_MvgFcj5zx";"1";"1";"20220608_170000"
